elapsed_time_s,tracking_error_m
6.784,0.0042
6.789,0.0143
6.794,0.0044
6.799,0.0143
6.804,0.0045
6.809,0.0143
6.815,0.0045
6.819,0.0143
6.824,0.0045
6.830,0.0142
6.835,0.0048
6.840,0.0141
6.844,0.0048
6.849,0.0142
6.854,0.0048
6.859,0.0141
6.864,0.0050
6.870,0.0141
6.874,0.0049
6.879,0.0142
6.884,0.0050
6.889,0.0140
6.895,0.0052
6.899,0.0140
6.904,0.0052
6.909,0.0140
6.914,0.0052
6.919,0.0140
6.924,0.0053
6.929,0.0140
6.934,0.0054
6.939,0.0139
6.944,0.0056
6.950,0.0136
6.954,0.0055
6.959,0.0137
6.964,0.0056
6.969,0.0138
6.974,0.0056
6.979,0.0138
6.984,0.0057
6.989,0.0136
6.994,0.0058
6.999,0.0137
7.004,0.0058
7.009,0.0136
7.014,0.0059
7.019,0.0135
7.024,0.0060
7.029,0.0135
7.034,0.0060
7.039,0.0134
7.044,0.0061
7.049,0.0134
7.054,0.0063
7.059,0.0133
7.065,0.0064
7.069,0.0133
7.074,0.0063
7.079,0.0133
7.084,0.0065
7.089,0.0134
7.094,0.0063
7.099,0.0133
7.104,0.0065
7.109,0.0133
7.114,0.0065
7.120,0.0132
7.124,0.0066
7.129,0.0131
7.134,0.0067
7.139,0.0130
7.144,0.0068
7.149,0.0130
7.154,0.0068
7.160,0.0130
7.164,0.0068
7.169,0.0129
7.174,0.0069
7.179,0.0129
7.184,0.0070
7.189,0.0128
7.194,0.0071
7.199,0.0128
7.204,0.0071
7.209,0.0127
7.214,0.0072
7.219,0.0127
7.224,0.0072
7.229,0.0127
7.234,0.0072
7.239,0.0126
7.244,0.0073
7.249,0.0125
7.254,0.0074
7.259,0.0125
7.264,0.0074
7.269,0.0126
7.274,0.0074
7.279,0.0125
7.284,0.0075
7.289,0.0125
7.294,0.0076
7.299,0.0124
7.304,0.0077
7.309,0.0124
7.315,0.0078
7.319,0.0123
7.324,0.0077
7.329,0.0123
7.334,0.0077
7.339,0.0124
7.344,0.0076
7.349,0.0122
7.354,0.0078
7.359,0.0121
7.364,0.0078
7.369,0.0122
7.374,0.0079
7.379,0.0120
7.384,0.0080
7.389,0.0118
7.394,0.0080
7.399,0.0120
7.404,0.0080
7.409,0.0119
7.415,0.0083
7.419,0.0118
7.424,0.0083
7.429,0.0118
7.434,0.0083
7.439,0.0117
7.444,0.0083
7.449,0.0117
7.454,0.0084
7.460,0.0115
7.464,0.0086
7.469,0.0116
7.474,0.0084
7.479,0.0115
7.484,0.0085
7.489,0.0114
7.494,0.0087
7.499,0.0112
7.504,0.0088
7.509,0.0112
7.514,0.0087
7.519,0.0111
7.524,0.0089
7.529,0.0109
7.535,0.0091
7.539,0.0109
7.544,0.0089
7.549,0.0108
7.554,0.0091
7.559,0.0107
7.564,0.0093
7.569,0.0106
7.574,0.0092
7.579,0.0105
7.584,0.0092
7.589,0.0103
7.594,0.0093
7.599,0.0102
7.604,0.0094
7.609,0.0102
7.614,0.0095
7.619,0.0100
7.624,0.0094
7.629,0.0101
7.634,0.0094
7.639,0.0100
7.644,0.0095
7.649,0.0098
7.654,0.0095
7.659,0.0097
7.664,0.0097
7.669,0.0095
7.674,0.0097
7.679,0.0095
7.684,0.0098
7.689,0.0093
7.694,0.0097
7.699,0.0092
7.704,0.0098
7.709,0.0090
7.714,0.0099
7.719,0.0089
7.724,0.0099
7.729,0.0088
7.734,0.0100
7.739,0.0086
7.744,0.0100
